gbifID;accessRights;license;rightsHolder;institutionCode;collectionCode;basisOfRecord;occurrenceID;catalogNumber;occurrenceStatus;eventDate;year;month;day;decimalLatitude;decimalLongitude;scientificName;kingdom;taxonRank;datasetKey;publishingCountry;lastInterpreted;issue;hasCoordinate;hasGeospatialIssues;taxonKey;acceptedTaxonKey;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;protocol;lastParsed;lastCrawled;repatriated;recordedBy;preparations;higherGeography;countryCode;stateProvince;locality;county;phylum;class;genericName;taxonomicStatus;acceptedScientificName;verbatimScientificName;continent;order;level0Gid;level0Name;level1Gid;level1Name;level2Gid;level2Name;genus;family;iucnRedListCategory;specificEpithet;species;eventRemarks;typeStatus;infraspecificEpithet
1438492598;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000142;MPEG.ANL 000142;PRESENT;30/04/2011 00:00:00;2011;4;30;-1736933;-51454931;incertae sedis;incertae sedis;KINGDOM;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;2023-09-07T06:19:05.9410000;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";TRUE;FALSE;0;null;0;null;null;null;null;null;null;EML;2023-09-07T06:19:05.9410000;2023-01-07T08:25:05.8170000;FALSE;"Decaëns,  T.;  Lopes, A. M.";Etanol - 1;Pará, Melgaço;BR;Pará;Caxiuanã, ECFP;Melgaço;;;;;;;SOUTH_AMERICA;;BRA;Brazil;BRA.14_1;Pará;BRA.14.71_2;Melgaço;;;;;;;;
1438492597;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000143;MPEG.ANL 000143;PRESENT;30/04/2011 00:00:00;2011;4;30;-1736933;-51454931;incertae sedis;incertae sedis;KINGDOM;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;2023-09-07T06:19:05.9410000;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";TRUE;FALSE;0;null;0;null;null;null;null;null;null;EML;2023-09-07T06:19:05.9410000;2023-01-07T08:25:05.8170000;FALSE;"Decaëns,  T.;  Lopes, A. M.";Etanol - 1;Pará, Melgaço;BR;Pará;Caxiuanã, ECFP;Melgaço;;;;;;;SOUTH_AMERICA;;BRA;Brazil;BRA.14_1;Pará;BRA.14.71_2;Melgaço;;;;;;;;
1438492596;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000130;MPEG.ANL 000130;PRESENT;30/04/2011 00:00:00;2011;4;30;-1736933;-51454931;incertae sedis;incertae sedis;KINGDOM;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;2023-09-07T06:19:05.9400000;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";TRUE;FALSE;0;null;0;null;null;null;null;null;null;EML;2023-09-07T06:19:05.9400000;2023-01-07T08:25:05.8170000;FALSE;"Decaëns,  T.;  Lopes, A. M.";Etanol - 1;Pará, Melgaço;BR;Pará;Caxiuanã, ECFP;Melgaço;;;;;;;SOUTH_AMERICA;;BRA;Brazil;BRA.14_1;Pará;BRA.14.71_2;Melgaço;;;;;;;;
1438492595;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000124;MPEG.ANL 000124;PRESENT;30/04/2011 00:00:00;2011;4;30;-1736933;-51454931;incertae sedis;incertae sedis;KINGDOM;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;2023-09-07T06:19:05.9400000;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";TRUE;FALSE;0;null;0;null;null;null;null;null;null;EML;2023-09-07T06:19:05.9400000;2023-01-07T08:25:05.8170000;FALSE;"Decaëns,  T.;  Lopes, A. M.";Etanol - 1;Pará, Melgaço;BR;Pará;Caxiuanã, ECFP;Melgaço;;;;;;;SOUTH_AMERICA;;BRA;Brazil;BRA.14_1;Pará;BRA.14.71_2;Melgaço;;;;;;;;
1438492594;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000116;MPEG.ANL 000116;PRESENT;30/04/2011 00:00:00;2011;4;30;-1736933;-51454931;incertae sedis;incertae sedis;KINGDOM;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;2023-09-07T06:19:05.9420000;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";TRUE;FALSE;0;null;0;null;null;null;null;null;null;EML;2023-09-07T06:19:05.9420000;2023-01-07T08:25:05.8170000;FALSE;"Decaëns,  T.;  Lopes, A. M.";Etanol - 1;Pará, Melgaço;BR;Pará;Caxiuanã, ECFP;Melgaço;;;;;;;SOUTH_AMERICA;;BRA;Brazil;BRA.14_1;Pará;BRA.14.71_2;Melgaço;;;;;;;;
1438492593;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000120;MPEG.ANL 000120;PRESENT;30/04/2011 00:00:00;2011;4;30;-1736933;-51454931;incertae sedis;incertae sedis;KINGDOM;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;2023-09-07T06:19:05.9400000;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";TRUE;FALSE;0;null;0;null;null;null;null;null;null;EML;2023-09-07T06:19:05.9400000;2023-01-07T08:25:05.8170000;FALSE;"Decaëns,  T.;  Lopes, A. M.";Etanol - 1;Pará, Melgaço;BR;Pará;Caxiuanã, ECFP;Melgaço;;;;;;;SOUTH_AMERICA;;BRA;Brazil;BRA.14_1;Pará;BRA.14.71_2;Melgaço;;;;;;;;
1438492592;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000101;MPEG.ANL 000101;PRESENT;30/04/2011 00:00:00;2011;4;30;-1960217;-51618897;Pontoscolex Schmarda, 1861;Animalia;GENUS;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;2023-09-07T06:19:05.9430000;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";TRUE;FALSE;10943108;10943108;1;42;255;5958860;9272891;10943108;null;EML;2023-09-07T06:19:05.9430000;2023-01-07T08:25:05.8170000;FALSE;"Decaëns,  T.;  Lopes, A. M.";Etanol - 1;Pará, Melgaço;BR;Pará;Caxiuanã, PPBio project, A transect;Melgaço;Annelida;Clitellata;Pontoscolex;ACCEPTED;Pontoscolex Schmarda, 1861;Pontoscolex;SOUTH_AMERICA;Crassiclitellata;BRA;Brazil;BRA.14_1;Pará;BRA.14.96_2;Portel;Pontoscolex;Rhinodrilidae;;;;;;
1438492591;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000115;MPEG.ANL 000115;PRESENT;30/04/2011 00:00:00;2011;4;30;-1736933;-51454931;incertae sedis;incertae sedis;KINGDOM;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;2023-09-07T06:19:05.9420000;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";TRUE;FALSE;0;null;0;null;null;null;null;null;null;EML;2023-09-07T06:19:05.9420000;2023-01-07T08:25:05.8170000;FALSE;"Decaëns,  T.;  Lopes, A. M.";Etanol - 1;Pará, Melgaço;BR;Pará;Caxiuanã, ECFP;Melgaço;;;;;;;SOUTH_AMERICA;;BRA;Brazil;BRA.14_1;Pará;BRA.14.71_2;Melgaço;;;;;;;;
1438492590;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000122;MPEG.ANL 000122;PRESENT;30/04/2011 00:00:00;2011;4;30;-1736933;-51454931;incertae sedis;incertae sedis;KINGDOM;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;2023-09-07T06:19:05.9400000;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";TRUE;FALSE;0;null;0;null;null;null;null;null;null;EML;2023-09-07T06:19:05.9400000;2023-01-07T08:25:05.8170000;FALSE;"Decaëns,  T.;  Lopes, A. M.";Etanol - 1;Pará, Melgaço;BR;Pará;Caxiuanã, ECFP;Melgaço;;;;;;;SOUTH_AMERICA;;BRA;Brazil;BRA.14_1;Pará;BRA.14.71_2;Melgaço;;;;;;;;
1438492589;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000111;MPEG.ANL 000111;PRESENT;30/04/2011 00:00:00;2011;4;30;-1960217;-51618897;Pontoscolex Schmarda, 1861;Animalia;GENUS;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;2023-09-07T06:19:05.9430000;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";TRUE;FALSE;10943108;10943108;1;42;255;5958860;9272891;10943108;null;EML;2023-09-07T06:19:05.9430000;2023-01-07T08:25:05.8170000;FALSE;"Decaëns,  T.;  Lopes, A. M.";Etanol - 1;Pará, Melgaço;BR;Pará;Caxiuanã, PPBio project, A transect;Melgaço;Annelida;Clitellata;Pontoscolex;ACCEPTED;Pontoscolex Schmarda, 1861;Pontoscolex;SOUTH_AMERICA;Crassiclitellata;BRA;Brazil;BRA.14_1;Pará;BRA.14.96_2;Portel;Pontoscolex;Rhinodrilidae;;;;;;
